Date,New Zealand,Main Urban Areas,Auckland Area,Wellington Area,Far North District,Whangarei District,Kaipara District,Rodney District,Rodney - Hibiscus Coast,Rodney - North,North Shore City,North Shore - Coastal,North Shore - Onewa,North Shore - North Harbour,Waitakere City,Auckland City,Auckland City - Central,Auckland_City - East,Auckland City - South,Auckland City - Islands,Manukau City,Manukau - East,Manukau - Central,Manukau - North West,Papakura District,Franklin District,Thames-Coromandel District,Hauraki District,Waikato District,Matamata-Piako District,Hamilton City,Hamilton - North East,Hamilton - Central & North West,Hamilton - South East,Hamilton - South West,Waipa District,Otorohanga District,South Waikato District,Waitomo District,Taupo District,Western Bay of Plenty District,Tauranga City,Rotorua District,Whakatane District,Kawerau District,Opotiki District,Gisborne District,Wairoa District,Hastings District,Napier City,Central Hawkes Bay District,New Plymouth District,Stratford District,South Taranaki District,Ruapehu District,Whanganui District,Rangitikei District,Manawatu District,Palmerston North City,Tararua District,Horowhenua District,Kapiti Coast District,Porirua City,Upper Hutt City,Lower Hutt City,Wellington City,Wellington - Central & South,Wellington - East,Wellington - North,Wellington - West,Masterton District,Carterton District,South Wairarapa District,Tasman District,Nelson City,Marlborough District,Kaikoura District,Buller District,Grey District,Westland District,Hurunui District,Waimakariri District,Christchurch City,Christchurch - East,Christchurch - Hills,Christchurch - Central & North,Christchurch - Southwest,Christchurch - Banks Peninsula,Selwyn District,Ashburton District,Timaru District,MacKenzie District,Waimate District,Waitaki District,Central Otago District,Queenstown-Lakes District,Dunedin City,Dunedin - Central & North,Dunedin - Peninsular & Coastal,Dunedin - South,Dunedin - Taieri,Clutha District,Southland District,Gore District,Invercargill City
2014-01-01,467499 ,543745 ,695215 ,452427 ,300444 ,335273 ,325117 ,644006 ,640174 ,648149 ,820155 ,944439 ,657307 ,786895 ,544202 ,820924 ,720580 ,1026410 ,734261 ,733442 ,580074 ,773540 ,441958 ,474183 ,422887 ,448462 ,501403 ,249689 ,282781 ,269792 ,360656 ,452481 ,339206 ,333780 ,316568 ,334678 ,214925 ,129790 ,140315 ,338804 ,402216 ,439974 ,273213 ,295474 ,105034 ,202427 ,235643 ,150584 ,300730 ,325275 ,199156 ,346370 ,204619 ,182579 ,146624 ,186560 ,145746 ,239353 ,287384 ,155535 ,200578 ,369826 ,379118 ,341521 ,372791 ,534748 ,541426 ,577178 ,470546 ,613990 ,242729 ,258810 ,299756 ,407322 ,401953 ,340898 ,350816 ,212712 ,227033 ,235312 ,348352 ,400425 ,456131 ,340803 ,625165 ,529107 ,428632 ,489773 ,487046 ,313420 ,276072 ,298151 ,200748 ,213798 ,313368 ,653950 ,289078 ,298836 ,260529 ,279227 ,298582 ,161669 ,195746 ,188762 ,205258 
2014-02-01,468484 ,544360 ,695499 ,453493 ,302551 ,335477 ,322571 ,647434 ,637849 ,658738 ,822833 ,945605 ,660111 ,793142 ,543208 ,818724 ,724200 ,1025584 ,730235 ,731468 ,581562 ,773770 ,444608 ,476331 ,428104 ,452474 ,502014 ,251524 ,279844 ,269202 ,362983 ,455553 ,340572 ,336124 ,319468 ,334342 ,199621 ,130516 ,142984 ,334207 ,402091 ,440621 ,275697 ,289371 ,103849 ,212151 ,236789 ,153051 ,301571 ,323555 ,200450 ,346359 ,201601 ,180537 ,146278 ,184032 ,145214 ,239351 ,287381 ,151974 ,200106 ,368905 ,379370 ,336772 ,375983 ,536797 ,542486 ,578374 ,472283 ,618379 ,238824 ,261071 ,302735 ,411695 ,402553 ,342744 ,345484 ,208703 ,215099 ,229676 ,341699 ,399762 ,457744 ,342654 ,623035 ,531258 ,428578 ,497678 ,492192 ,313835 ,275215 ,297795 ,198837 ,217896 ,314247 ,661594 ,288624 ,297308 ,261197 ,279108 ,299203 ,159212 ,200655 ,185445 ,205737 
2014-03-01,466665 ,542932 ,699659 ,454530 ,302077 ,338922 ,328581 ,654079 ,645390 ,664700 ,825287 ,947285 ,660957 ,797229 ,548683 ,826721 ,742345 ,1035956 ,732046 ,729114 ,580572 ,766956 ,447729 ,477518 ,426442 ,457363 ,500762 ,244868 ,275890 ,269384 ,361522 ,454643 ,336111 ,337353 ,318454 ,333983 ,191311 ,131190 ,,331580 ,409493 ,443723 ,277115 ,295951 ,105579 ,207507 ,235074 ,148697 ,300071 ,324902 ,205302 ,348467 ,195469 ,180854 ,139399 ,183636 ,141117 ,240919 ,286413 ,152882 ,202775 ,368028 ,375916 ,335295 ,377966 ,539133 ,546872 ,580347 ,472005 ,623224 ,240332 ,257891 ,302548 ,416036 ,399835 ,343165 ,359167 ,210013 ,225229 ,226774 ,331832 ,401323 ,448219 ,337000 ,605170 ,526894 ,425219 ,468141 ,494227 ,312384 ,274778 ,297043 ,203926 ,218428 ,315565 ,667851 ,289734 ,298396 ,266180 ,276487 ,301411 ,159991 ,202732 ,181888 ,206971 
2014-04-01,468383 ,546466 ,705867 ,455214 ,304538 ,338647 ,330431 ,661801 ,657903 ,666875 ,834468 ,957454 ,663918 ,810601 ,550408 ,836620 ,756272 ,1043098 ,740993 ,749813 ,585820 ,779965 ,448890 ,478654 ,430762 ,459642 ,498771 ,241670 ,275737 ,268879 ,363850 ,459840 ,340896 ,334946 ,319726 ,335260 ,187781 ,128296 ,,338362 ,412729 ,449331 ,274984 ,293295 ,96804 ,205864 ,231128 ,157587 ,300924 ,325051 ,208341 ,350344 ,195833 ,179227 ,139339 ,184307 ,140436 ,241313 ,287624 ,154275 ,206447 ,372387 ,376952 ,334359 ,379429 ,539779 ,546611 ,582474 ,472827 ,622837 ,235447 ,253819 ,301386 ,416950 ,403248 ,346573 ,353415 ,212360 ,218370 ,229980 ,333098 ,401116 ,451794 ,339715 ,604697 ,532043 ,428985 ,468617 ,493210 ,314682 ,276705 ,292821 ,198761 ,219460 ,311022 ,668448 ,289853 ,297923 ,266334 ,277648 ,301459 ,160013 ,207260 ,181299 ,206508 
2014-05-01,471791 ,550167 ,713709 ,452099 ,298087 ,336978 ,332003 ,667621 ,662200 ,674127 ,849285 ,979249 ,671717 ,819008 ,557723 ,842769 ,758115 ,1050074 ,749414 ,742673 ,592397 ,791855 ,452297 ,483724 ,431004 ,467349 ,505370 ,241583 ,285595 ,269490 ,364004 ,458577 ,341192 ,334266 ,320624 ,338039 ,194186 ,128371 ,173307 ,345649 ,417637 ,450614 ,273458 ,293996 ,100438 ,205487 ,229543 ,155866 ,301547 ,324721 ,210538 ,350673 ,198041 ,179889 ,128967 ,181293 ,146127 ,239779 ,286701 ,154659 ,205604 ,375344 ,373947 ,332342 ,376163 ,535606 ,545640 ,574954 ,471122 ,612648 ,234630 ,260273 ,298036 ,416459 ,401566 ,346230 ,364413 ,210490 ,226180 ,230960 ,341134 ,404972 ,456962 ,343584 ,626090 ,535278 ,436395 ,456386 ,495137 ,320961 ,281665 ,291563 ,196335 ,219960 ,314022 ,668791 ,289964 ,296950 ,268931 ,280762 ,299845 ,162487 ,206870 ,175751 ,209719 
2014-06-01,476346 ,555521 ,718285 ,452649 ,296275 ,333294 ,336642 ,674090 ,667236 ,682422 ,852928 ,980553 ,676100 ,830372 ,561506 ,848024 ,747533 ,1068590 ,754469 ,732527 ,597199 ,800047 ,454283 ,486982 ,431142 ,468940 ,507209 ,237433 ,287276 ,275104 ,365549 ,460476 ,340566 ,334732 ,323526 ,340418 ,196277 ,125365 ,131779 ,342553 ,415877 ,452431 ,268486 ,297636 ,104167 ,206133 ,228959 ,157789 ,300145 ,325095 ,210326 ,350891 ,200451 ,182969 ,138421 ,180041 ,147780 ,239862 ,285050 ,152643 ,205764 ,375081 ,378373 ,336043 ,372998 ,535962 ,549287 ,569682 ,472441 ,607584 ,236152 ,258522 ,300003 ,410318 ,400554 ,348086 ,366186 ,206718 ,216367 ,232235 ,340551 ,405007 ,459617 ,344183 ,637998 ,536600 ,440232 ,462532 ,504609 ,323494 ,280066 ,285679 ,192613 ,220305 ,313350 ,664353 ,288609 ,297138 ,260769 ,280796 ,297772 ,166917 ,206422 ,177748 ,211625 
2014-07-01,479193 ,558131 ,720426 ,451154 ,296816 ,335044 ,338319 ,678208 ,670890 ,687905 ,857239 ,990893 ,680340 ,823106 ,564875 ,844957 ,747278 ,1054285 ,757207 ,742297 ,598838 ,801616 ,455532 ,489377 ,431444 ,465090 ,509039 ,234828 ,286237 ,278852 ,363118 ,456414 ,338375 ,334087 ,321253 ,341194 ,201428 ,126632 ,134775 ,342312 ,410366 ,454570 ,270592 ,294705 ,105711 ,209890 ,229699 ,153325 ,297796 ,323775 ,210605 ,349480 ,202899 ,183057 ,136091 ,177919 ,147563 ,240994 ,284963 ,147710 ,205958 ,374454 ,376399 ,333513 ,370566 ,535559 ,546894 ,569977 ,472151 ,610959 ,235962 ,264826 ,301984 ,413611 ,401579 ,345061 ,367671 ,207288 ,212805 ,227723 ,335478 ,406184 ,461176 ,345208 ,631241 ,538728 ,442054 ,470485 ,505602 ,321402 ,281282 ,280627 ,195046 ,223138 ,321721 ,676230 ,290658 ,299535 ,267892 ,280458 ,299838 ,168319 ,202973 ,180236 ,207492 
2014-08-01,479967 ,559890 ,726627 ,449838 ,300458 ,337977 ,330825 ,685473 ,684496 ,689444 ,857990 ,991684 ,678511 ,827990 ,567678 ,857341 ,758518 ,1069375 ,766079 ,779560 ,604852 ,805150 ,461753 ,496589 ,435731 ,468233 ,505148 ,227261 ,284366 ,280346 ,363243 ,458703 ,339202 ,332718 ,319224 ,339712 ,184223 ,126381 ,139697 ,333029 ,411965 ,454167 ,271188 ,294950 ,108313 ,218208 ,230808 ,149570 ,294662 ,324829 ,211646 ,349566 ,203462 ,179822 ,136793 ,178428 ,144688 ,241289 ,284130 ,148499 ,202453 ,372688 ,372969 ,335497 ,368344 ,534300 ,543169 ,574925 ,471219 ,606772 ,239799 ,268162 ,306794 ,412548 ,402701 ,346737 ,364308 ,207155 ,214594 ,232101 ,342363 ,405124 ,462086 ,343957 ,623448 ,540843 ,443648 ,481149 ,505405 ,315670 ,281954 ,283958 ,196247 ,219998 ,324940 ,667584 ,288920 ,296610 ,265138 ,279804 ,299251 ,166185 ,205669 ,186263 ,205252 
2014-09-01,481497 ,561762 ,731302 ,448644 ,304327 ,338274 ,332092 ,680760 ,677178 ,686403 ,864488 ,999355 ,682090 ,833400 ,570595 ,861978 ,760734 ,1075883 ,768570 ,802322 ,609974 ,810928 ,468110 ,500293 ,438569 ,475690 ,513330 ,237133 ,283046 ,277075 ,362299 ,456142 ,340636 ,330509 ,319920 ,340920 ,185212 ,122351 ,125739 ,333055 ,417685 ,452225 ,276959 ,292892 ,109141 ,218590 ,232250 ,142257 ,295559 ,329108 ,207336 ,350569 ,203353 ,182355 ,133587 ,179228 ,144914 ,235753 ,284880 ,150100 ,202158 ,376988 ,370982 ,333922 ,369578 ,533396 ,540295 ,576028 ,469802 ,608363 ,239538 ,270273 ,305009 ,415598 ,405688 ,339693 ,366421 ,205505 ,211598 ,240565 ,328904 ,407643 ,461218 ,344391 ,618508 ,540968 ,442190 ,474717 ,507316 ,317690 ,283315 ,283604 ,203291 ,223089 ,325226 ,669999 ,289472 ,297462 ,264192 ,279434 ,300735 ,157738 ,206539 ,183753 ,207103 
2014-10-01,484307 ,566435 ,738083 ,449913 ,305070 ,338881 ,328471 ,685227 ,680184 ,691840 ,876122 ,1012863 ,690906 ,847407 ,577598 ,870149 ,764836 ,1092603 ,776301 ,797648 ,614514 ,813996 ,474316 ,504654 ,438604 ,479161 ,507928 ,239564 ,276071 ,271230 ,363753 ,457587 ,337596 ,332857 ,324790 ,342400 ,183850 ,125932 ,139464 ,329369 ,422814 ,451665 ,271242 ,290482 ,106350 ,211227 ,232253 ,143332 ,296516 ,328197 ,195821 ,352975 ,202550 ,182798 ,132631 ,181532 ,143301 ,235903 ,285971 ,152340 ,202349 ,373914 ,375152 ,336151 ,367293 ,536332 ,543665 ,583520 ,470524 ,612964 ,241174 ,270654 ,305568 ,411148 ,407449 ,344226 ,365540 ,200154 ,222631 ,234320 ,336049 ,409265 ,463646 ,346383 ,617443 ,543403 ,444932 ,486449 ,506201 ,322364 ,286936 ,276246 ,198933 ,224415 ,321665 ,692508 ,290100 ,297053 ,263829 ,280059 ,302614 ,166066 ,206055 ,183960 ,202871 
2014-11-01,483424 ,567526 ,748955 ,450447 ,306122 ,337371 ,335871 ,675302 ,670579 ,681194 ,876863 ,996804 ,712298 ,849779 ,582168 ,892140 ,776610 ,1121524 ,802348 ,747260 ,623727 ,817024 ,474395 ,522545 ,451149 ,481425 ,505979 ,233700 ,280665 ,267845 ,367509 ,463068 ,338363 ,338786 ,326300 ,345303 ,194393 ,126394 ,140155 ,333560 ,422071 ,455196 ,268857 ,294271 ,102290 ,205592 ,227968 ,144745 ,296571 ,326343 ,202730 ,354685 ,197990 ,186461 ,134934 ,181898 ,143056 ,239878 ,288383 ,152049 ,204687 ,378617 ,379299 ,334206 ,368099 ,537500 ,545263 ,586358 ,469389 ,616535 ,237569 ,262491 ,298767 ,415212 ,409126 ,344559 ,350808 ,202092 ,220714 ,228458 ,334410 ,411737 ,466814 ,350668 ,624100 ,548065 ,445780 ,480540 ,508696 ,327190 ,291173 ,280246 ,200008 ,221689 ,318926 ,692271 ,291598 ,300737 ,265068 ,278274 ,304145 ,166443 ,206194 ,182676 ,204574 
